Rec_1_color_r,Rec_1_color_g,Rec_1_color_b,Rec_2_color_r,Rec_2_color_g,Rec_2_color_b,Rec_3_color_r,Rec_3_color_g,Rec_3_color_b,concentration
253.8233597,216.071858,58.24778617,254.2201684,251.3236784,134.024477,111.6793986,146.7816129,118.3103032,5.00E-05
253.8278297,215.9027557,58.37149934,254.2695012,251.5001979,133.6423702,112.0144311,146.7514389,118.4571367,5.00E-05
253.8443547,215.7264441,58.03723315,254.218088,251.4389652,133.6434002,111.6793986,146.7816129,118.5147073,5.00E-05
253.8023407,216.071858,58.22158266,254.2327214,251.4954911,133.6434002,111.2821899,146.8002387,118.4571367,5.00E-05
253.8233597,215.9027557,58.03723315,254.2175387,251.4358266,134.1325037,111.7035034,146.6813795,118.7404557,5.00E-05
253.7865265,216.0045411,58.02205767,254.2411858,251.3578435,132.9493375,111.7903148,146.8433282,118.7404557,5.00E-05
253.8486099,215.761524,58.41122782,254.2175387,251.4389652,133.7737514,111.5184634,146.765409,118.3103032,5.00E-05
253.8023407,216.1329522,58.24778617,254.2413141,251.3578435,134.0471976,111.7035034,146.6813795,118.2577952,5.00E-05
253.8023407,216.1329522,58.33147622,254.2695012,251.4207803,133.6434002,111.6793986,146.8044142,118.4571367,5.00E-05
253.8443547,215.9413872,58.43265164,254.2288553,251.4538365,134.0471976,111.6669647,146.6813795,118.7404557,5.00E-05
253.788887,215.761524,58.33147622,254.2175387,251.4954911,134.024477,111.9620032,146.9200685,118.8708594,5.00E-05
253.8233597,215.8012535,58.3885035,254.2705896,251.5001979,134.0471976,111.7903148,146.8969552,119.0541345,5.00E-05
253.8261139,216.0045411,58.22158266,254.2375565,251.3290138,133.7737514,112.0144311,146.7578918,118.8708594,5.00E-05
253.8457999,216.1329522,58.41122782,254.2327214,251.433574,134.1665,111.8169675,146.765409,118.723471,5.00E-05
253.8221363,216.0045411,58.47964585,254.2375565,251.4358266,133.6423702,111.7783815,146.765409,118.3103032,5.00E-05
253.8273317,215.8012535,58.3885035,254.2364603,251.4389652,133.7737514,111.5184634,146.8920844,118.8564742,5.00E-05
253.8278297,215.7264441,58.50032212,254.2201684,251.4358266,134.0910722,111.6793986,146.8920844,118.3103032,5.00E-05
253.8023407,215.8923125,58.43265164,254.2327214,251.4538365,133.6433415,111.7903148,146.6813795,118.2577952,5.00E-05
253.8273317,215.9027557,58.1294014,254.2577297,251.4358266,134.1325037,111.6793986,146.8612835,118.851459,5.00E-05
253.7708178,216.0126056,58.03723315,254.2413141,251.4207803,134.1665,112.0144311,146.765409,118.8564742,5.00E-05
253.8233597,215.9413872,58.33147622,254.2288553,251.4538365,133.7737514,111.2821899,146.8433282,119.0354424,5.00E-05
253.7708178,216.071858,58.03723315,254.2577297,251.433574,134.024477,111.7903148,146.6655066,118.6834647,5.00E-05
253.8081182,215.9027557,58.50032212,254.2489461,251.4358266,133.3284708,111.5184634,146.8969552,118.4241026,5.00E-05
253.8221363,215.9027557,58.43265164,254.2411858,251.4954911,132.9493375,111.5440278,146.7578918,119.0354424,5.00E-05
253.8273317,215.9027557,58.22158266,254.2413141,251.5136113,133.6423702,111.7168353,146.8002387,118.2245347,5.00E-05
253.8233597,215.8012535,58.33147622,254.2201684,251.4538365,134.1325037,111.7035034,146.8920844,118.5147073,5.00E-05
253.7865265,216.0045411,58.43265164,254.2695012,251.3236784,133.5046309,111.7783815,146.7816129,118.6490632,5.00E-05
253.8023407,216.0045411,58.24778617,254.2302245,251.4538365,132.9493375,111.5440278,146.7578918,118.8564742,5.00E-05
253.7915769,215.9657942,57.72049045,254.2288553,251.3602231,134.0847288,111.8169675,146.8612835,118.2577952,5.00E-05
253.7708178,215.9413872,58.37149934,254.2175387,251.4207803,134.2061009,111.6669647,146.8920844,118.3103032,5.00E-05
253.7708178,216.071858,58.31242197,254.218088,251.5653488,134.0847288,112.0144311,146.765409,119.0541345,5.00E-05
253.8443547,215.761524,58.3885035,254.218088,251.3602231,133.3284708,111.5184634,146.7514389,118.6834647,5.00E-05
253.7915769,215.9657942,58.31242197,254.218088,251.3578435,133.6434002,111.510912,146.8002387,119.0354424,5.00E-05
253.8233597,215.9256043,57.72049045,254.2288553,251.3290138,134.2061009,112.0144311,146.8987873,118.723471,5.00E-05
253.8233597,215.761524,58.22158266,254.2412689,251.3578435,133.5046309,111.5440278,146.7514389,118.8564742,5.00E-05
253.8221363,216.071858,58.24778617,254.2411858,251.4206855,133.5046309,111.7783815,146.7816129,118.8564742,5.00E-05
253.8443547,215.761524,58.41122782,254.2413141,251.5136113,133.3284708,111.7783815,146.6813795,118.6490632,5.00E-05
253.8457999,216.1870445,58.31242197,254.2413141,251.3602231,133.7967685,111.7035034,146.6813795,119.0354424,5.00E-05
253.8457999,215.761524,58.47964585,254.2695012,251.5136113,133.6423702,111.7139598,146.6655066,119.0354424,5.00E-05
253.788887,215.7264441,58.31242197,254.2288553,251.433574,134.0847288,111.8169675,146.8920844,118.7404557,5.00E-05
253.8486099,216.071858,58.3885035,254.2175387,251.5136113,132.9493375,111.6669647,146.8044142,118.5147073,5.00E-05
253.7865265,216.1870445,58.1294014,254.2695012,251.5136113,133.5046309,111.5440278,146.9200685,119.0354424,5.00E-05
253.7708178,216.1870445,58.41122782,254.2288553,251.4954911,134.1325037,111.7783815,146.8920844,118.6490632,5.00E-05
253.788887,215.9413872,58.24778617,254.2302245,251.4389652,134.1325037,111.8169675,146.8987873,119.0541345,5.00E-05
253.7915769,216.0597365,58.02205767,254.2413141,251.3236784,134.1665,111.7168353,146.6813795,118.7404557,5.00E-05
253.788887,216.1870445,58.1294014,254.218088,251.433574,134.0471976,111.7903148,146.7514389,118.8564742,5.00E-05
253.8261139,215.9413872,58.02205767,254.2327214,251.3290138,133.7737514,111.6669647,146.765409,118.8564742,5.00E-05
253.8278297,216.1870445,58.02205767,254.2705896,251.4538365,134.1665,111.8169675,146.9200685,118.2245347,5.00E-05
253.8081182,216.1329522,58.37149934,254.2288553,251.3578435,133.6434002,111.6793986,146.7185712,118.4571367,5.00E-05
253.8221363,216.0126056,58.43265164,254.2375565,251.4538365,134.0847288,111.2821899,146.8002387,118.4571367,5.00E-05
253.7708178,216.0045411,58.3885035,254.2413141,251.433574,134.0910722,111.6265924,146.8433282,119.0541345,5.00E-05
253.788887,216.0045411,58.24778617,254.2695012,251.4389652,133.7967685,111.7035034,146.8612835,118.2245347,5.00E-05
253.8221363,216.1329522,58.47964585,254.2175387,251.5073038,133.6433415,111.5440278,146.9200685,118.7404557,5.00E-05
253.7708178,215.8923125,58.31242197,254.2695012,251.3602231,134.2061009,111.7783815,146.8044142,118.5147073,5.00E-05
253.8457999,215.9215678,58.03723315,254.2705896,251.4206855,133.7737514,111.7139598,146.8002387,118.2245347,5.00E-05
253.8404839,215.9413872,58.50032212,254.218088,251.4954911,133.5046309,111.7139598,146.6655066,118.6834647,5.00E-05
253.8404839,215.9027557,58.24778617,254.2364603,251.4954911,132.9493375,111.5440278,146.9200685,118.3103032,5.00E-05
253.8233597,216.0126056,58.24778617,254.2302245,251.4389652,133.7967685,111.6265924,146.8002387,119.0541345,5.00E-05
253.8221363,215.761524,58.22158266,254.2201684,251.5136113,132.9493375,111.9620032,146.9200685,118.6490632,5.00E-05
253.7708178,215.7264441,58.31242197,254.2413141,251.3578435,133.7737514,111.7035034,146.8987873,118.851459,5.00E-05
253.7915769,215.9027557,58.24778617,254.2175387,251.3236784,133.7737514,111.510912,146.8969552,118.3103032,5.00E-05
253.8457999,215.761524,58.47964585,254.2489461,251.3602231,134.0910722,111.7035034,146.9200685,118.851459,5.00E-05
253.8457999,216.0045411,58.41122782,254.2695012,251.5001979,134.1325037,111.5184634,146.8920844,118.6834647,5.00E-05
253.8486099,215.9256043,58.3885035,254.2489461,251.3290138,133.6434002,111.7783815,146.8987873,118.8708594,5.00E-05
253.8233597,216.1329522,58.50032212,254.2201684,251.4358266,133.6434002,111.7139598,146.8969552,118.4571367,5.00E-05
253.8486099,216.0126056,58.22158266,254.2695012,251.4538365,133.6434002,111.5440278,146.765409,118.4571367,5.00E-05
253.8081182,215.8012535,58.37149934,254.2412689,251.5001979,134.024477,111.6265924,146.8044142,118.2577952,5.00E-05
253.8457999,216.0597365,58.47964585,254.2411858,251.3602231,133.5046309,111.5184634,146.9200685,118.8564742,5.00E-05
253.7865265,216.0126056,58.24778617,254.2201684,251.5001979,133.6433415,111.5184634,146.765409,118.2577952,5.00E-05
253.8081182,215.9027557,58.34334784,254.218088,251.4389652,133.3284708,111.7783815,146.7514389,118.3103032,5.00E-05
253.8486099,216.1329522,58.02205767,254.218088,251.5136113,134.1325037,111.7903148,146.7514389,118.6490632,5.00E-05
253.7915769,215.8012535,58.3885035,254.2413141,251.4207803,134.0471976,111.6793986,146.8987873,118.8564742,5.00E-05
253.8233597,216.0126056,58.33147622,254.2375565,251.4207803,133.6434002,111.5440278,146.8433282,118.7404557,5.00E-05
253.7915769,216.071858,58.41122782,254.2411858,251.4954911,134.0910722,111.7168353,146.7514389,118.4241026,5.00E-05
253.8273317,215.8923125,58.31242197,254.2695012,251.3236784,133.5046309,111.7035034,146.7514389,118.2577952,5.00E-05
253.8261139,216.0597365,58.3885035,254.2201684,251.4538365,134.0847288,111.7783815,146.8044142,119.0354424,5.00E-05
253.8221363,216.071858,58.24778617,254.2375565,251.4206855,133.5046309,111.510912,146.8987873,118.6834647,5.00E-05
253.788887,215.9413872,57.72049045,254.2175387,251.5001979,133.5046309,111.6265924,146.8612835,118.6834647,5.00E-05
253.7708178,215.9215678,57.72049045,254.2364603,251.5653488,133.7967685,111.2821899,146.7514389,119.0541345,5.00E-05
